spotify_id,community,artist,popularity,followers,genre
0FEJqmeLRzsXj8hgcZaAyB,32,Indila,68,953840.0,french pop
7EK1bQADBoqbYXnT4Cqv9w,8,John Denver,67,1646622.0,classic country pop
24BYRlsS8uIO4jA71mJ4Js,38,Imran Khan,63,1500980.0,desi hip hop
6sYR8JTRUUUzSD9IydLhfG,32,Guizmo,52,528654.0,french hip hop
5U1dINFKjJlYNOSdMrHlRh,35,16 Typh,41,162704.0,vietnamese hip hop
5r0Fhn5JfkbhPG8wXRu0iY,16,Xiao Qiu,30,11728.0,taiwan pop
6GTyqYZ5IvCrYwpVoPqNkq,39,Ylona,4,141.0,Unknown
15EdXJSvJSrjOGXsIimK0d,37,Ameen Khattab,33,213478.0,mahraganat
5t8dw8yCWNAezW6wP3ZOGh,39,Alex Kunnari,33,4341.0,finnish edm
5nPOO9iTcrs9k6yFffPxjH,39,Röyksopp,62,785861.0,alternative dance
5snNHNlYT2UrtZo5HCJkiw,26,Epik High,56,630279.0,k-pop
30ut8L4gmEz4vNr1zNhpbh,13,Ida Corr,54,19008.0,scandipop
64d1rUxfizSAOE9UbMnUZd,17,Sezen Aksu,68,6287949.0,turkish pop
78rEst9B8h5utylmzIoUgb,57,Samuel Jack,50,10943.0,uk pop
1AACxWCwNIa3ecOBQJnXRV,7,Nino Freestyle,50,122160.0,dominican pop
6HYjkczJfUdGcwIGPOq5P2,42,Myra Granberg,54,26819.0,swedish idol pop
6MlVGjgieHwMJCPBjU41dN,9,Maciej Musiałowski,32,18644.0,polish pop
27vSXvM0Ht2xGwRUUwpBAg,32,Jaylann,36,9149.0,moroccan pop
2FgZrgTMX6Sk0VNcOsEPmm,26,Punch,62,262950.0,k-pop
05X5qdeeGgBQe115bTNlWu,13,Pede B,40,18460.0,danish hip hop
6lESE9VeLV05vQBw8TB4YA,26,IT’S,20,1331.0,Unknown
1WLKjYJX9YHSlwufclauhg,162,URBOYTJ,52,762615.0,thai hip hop
6CAOElXrWvhb594GKitCch,21,Trunks,50,32391.0,trap brasileiro
0WAZJYudbUpl0EOjvdrnRG,40,Julio Bashmore,36,67425.0,bristol electronic
5lLpwQ6qv9uml76PIiRhxn,41,Kandráčovci,36,15578.0,heligonka
2BTS8Np1YzPQuXjgdlqsBB,7,Emanero,59,60564.0,argentine hip hop
0Ya43ZKWHTKkAbkoJJkwIB,15,The Wombats,66,1005825.0,liverpool indie
5R42oko4xV2U7uqlZXbzqk,42,Simeon,36,2025.0,scandinavian r&b
4YXycRbyyAE0wozTk7QMEq,15,Matoma,66,706492.0,dance pop
1itXAnp2giHFQSzcvdN7xg,41,H16,40,62058.0,czsk hip hop
77QIEno3j2L5WkrHkh2OnP,9,Sir Mich,57,33369.0,polish hip hop
6sfUgwUTFjy1SNF2uWOcPp,3,Kate Miller-Heidke,40,63804.0,australian pop
4GAS1OgXh8D5pEA6s6eBNW,7,Valentino,50,179208.0,reggaeton
7qPLO2XOUaRrRxkvLZ3AEK,21,Zeeba,62,218502.0,brazilian edm
6VPUQ3UqHxeeVvROl2kZqb,11,Lukr,29,6020.0,Unknown
1l5hkQZj28djsCJWtN62wm,37,Zayed Al Saleh,20,10829.0,khaliji
7yK3vix9XmeNwPDmjGs78F,32,Manal,51,410396.0,arabic hip hop
4LWoeUqnRrGEulTsTZrFdd,42,Kaja Rode,11,474.0,eurovision
3UwlejyX2b458azZ7eCnHb,26,HyunA,58,2002179.0,k-pop
7rTPCNINGzMp3Hc8Xqht5Z,32,13 Block,52,633359.0,french hip hop
78u00MLyG46IkmM8HC6H0l,162,Mew Suppasit,45,131211.0,thai idol
0r0R5nIjDY04TfxRM10Bcb,70,Alligatoah,65,1047227.0,german pop
4qRXrzUmdy3p33lgvJEzdv,26,Paul Kim,52,199848.0,k-pop
3hq7WoPJsrRP0KMSLhUgRz,21,Murilo Huff,72,365942.0,arrocha
2wIcDrGIOP35LTxKLpiwXX,42,Sevz,35,764.0,Unknown
360IAlyVv4PCEVjgyMZrxK,15,Miguel,77,4195623.0,dance pop
2vm8GdHyrJh2O2MfbQFYG0,25,Ingrid Michaelson,59,780402.0,acoustic pop
5ttgIeUVka6FLyi00Uu5h8,15,Jauz,58,373735.0,bass house
2Z9KL8Zmqx5Sg3cd7Fldhl,70,Olexesh,64,858401.0,german drill
0NIIxcxNHmOoyBx03SfTCD,15,Tinashe,69,2440457.0,alternative r&b
27T030eWyCQRmDyuvr1kxY,70,Scorpions,72,5776554.0,album rock
5ZVHfahjeu8Z81RYyhcLDH,42,Euroo,40,9696.0,swedish hip hop
1XLjkBxFokuDTlHt0mQkRe,15,Thomas Gold,51,163074.0,big room
66NmU5epI0ONGmdCRbLpmW,27,Feby Putri,65,1126780.0,indonesian pop
4kYSro6naA4h99UJvo89HB,15,Cardi B,80,20361435.0,dance pop
5ZOMkfINXvTF4GqNwHPsfW,40,Badoxa,45,135913.0,kizomba
5qZLYtTL3ldN6Uw7OXHESR,70,Sa4,59,241730.0,deep german hip hop
0xs0DDAAat35MBE3KVOlVY,43,Dubbo,6,3025.0,austin hip hop
5lXfVoQxVgC5fpjkVqvNYn,32,Isaiah Firebrace,49,52781.0,australian pop
2GHclqNVjqGuiE5mA7BEoc,15,Common,62,833451.0,alternative hip hop
7H3TyvM3dpW78cru0Oaui9,70,YONII,50,155568.0,german hip hop
7c1HgFDe8ogy5NOZ1ANCJQ,26,"Car, the garden",51,110672.0,k-indie
5DkmrXKeWgDS86KKEw45o6,4,Rancore,51,170918.0,italian hip hop
6QpiYjzVCiO7063DWLTII7,33,HammAli,42,84170.0,Unknown
3DRcGS7R3ExecDZjfne2HM,41,Krozz,20,265.0,Unknown
5rmy4yOHBOptMctO6t5Drl,27,Kim Chiu,34,161108.0,classic opm
3ront3zvcdInux0rUVQLF2,18,Tur-G,38,34914.0,dutch hip hop
6px2zTzjQAPLkuea5qQ2Gx,32,Boulevard des Airs,48,184089.0,francoton
7DMveApC7UnC2NPfPvlHSU,15,Cheat Codes,71,2087675.0,dance pop
6hyMWrxGBsOx6sWcVj1DqP,15,Sebastian Ingrosso,62,938110.0,edm
2r7sssoF6zZbPOG0U0YOem,39,Berg,47,60743.0,progressive psytrance
0tzSBCPJZmHTdOA3ZV2mN3,26,CL,60,1064466.0,k-pop
68tIJ2KGC2bUs1cmIhJ9mW,18,Alain Clark,45,66131.0,dutch pop
11WOy8bNZ7WpdX89ILYNEW,13,Gio,32,4830.0,danish hip hop
49801AhfB2xOoOqtRZXv4H,42,Klikkmonopolet,44,1505.0,russelater
1cUpGtXcSQsovNYEZOQgOG,7,Nanpa Básico,71,1834105.0,colombian hip hop
3uCu2WgyG0Iw50ylOYDSpH,21,Maria Gadú,59,1298862.0,mpb
5f7VJjfbwm532GiveGC0ZK,15,Lil Baby,89,11530234.0,atl hip hop
3fNxc8lFimZHQfRZHeskfj,15,Marco Carta,30,84478.0,italian adult pop
1EUq1MC4vfYYxcVK9aJnXf,16,Della,48,221802.0,mandopop
4lH0PRAS3yV8O05E5lTqwk,4,Nahaze,28,5707.0,Unknown
4nDoRrQiYLoBzwC5BhVJzF,15,Camila Cabello,82,27956268.0,dance pop
5EvFsr3kj42KNv97ZEnqij,2,Shaggy,72,1795159.0,dance pop
1GsQwQOSAhn76MaVz5NXSq,44,Los Flamers,39,17362.0,cumbia del sureste
32ogthv0BdaSMPml02X9YB,25,The Cinematic Orchestra,63,577750.0,downtempo
38VNGRG9Wz2FOBKAyA6HFv,7,Italian Somali,41,62084.0,panamanian pop
4QrBoWLm2WNlPdbFhmlaUZ,7,KEVVO,65,448041.0,perreo
5aKVNeiiEzFHZHKiPx5X9p,70,flowerboii,35,1038.0,Unknown
4Dcz7srpGyeBFxFpQTxlvC,7,Dante Spinetta,38,31515.0,argentine indie
5uCXJWo3WoXgqv3T1RlAbh,8,Katie Melua,58,483771.0,uk pop
3GsYUkkdxEno2sunDQcRHo,162,ACTART,40,50433.0,thai indie pop
04FsFHujpuqonrPXZrEJlK,38,Dev Negi,64,532150.0,desi pop
0oXTS2yHUnuji1R7kc9J9a,4,Pascal Letoublon,61,88957.0,Unknown
4HQzd6CvawmmIqU9nJ47E0,69,Prinssi Jusuf,21,1983.0,finnish dance pop
0uGApGjjFXKwUOAqYBeX7B,15,Deepend,62,42031.0,deep house
3k68C6mNMJL6OaAdWeW2ZF,21,Diego & Victor Hugo,71,2195484.0,arrocha
7qhWa7UI1QNZNDnzYwAYZm,15,Vallis Alps,46,131451.0,australian pop
16Nc36xAtNyQ7BMBcDsaLv,45,Likybo,44,43029.0,cali rap
0L1f9i3L3fkMNENljDOsjG,4,Rocco Hunt,67,1443175.0,italian hip hop
1lYjAYTw1QBVxIwVrZ1eTy,5,ADDA,35,141743.0,romanian pop
3q1xAVcUquRc7oCZYLLIvZ,5,Brianna,47,16878.0,romanian pop
3QLMLmISoZnFxUdzSoT6JB,17,Gökhan Özen,49,447893.0,deep turkish pop
2IHoZ3RrDJIikMRsYgHjhy,9,Kizo,65,782321.0,polish hip hop
4PIW6aNu2AfeKQqkMGWVmS,5,Laura,29,1704.0,Unknown
0HB4KdHq8OA8xyJyxJ5lc2,37,Shamma Hamdan,33,75487.0,khaliji
6L7j9oK58YpVLZClqX0iF4,70,ARY,59,11347.0,german hip hop
5nLnIboxUroy6N5HBGRTMe,16,Huang Yali,18,1340.0,Unknown
2Y8dw810oc7wqr6D0eWrJp,7,Wanton chulito,53,16081.0,Unknown
